"extracted from ""QS World University Rankings - for web.xlsx""",
1,Massachusetts Institute of Technology (MIT) 
2,Harvard University
3,Yale University
4,University of Chicago
5,Princeton University
6,California Institute of Technology (Caltech)
7,Columbia University
8,University of Pennsylvania
9,Cornell University
10,Stanford University
11,Johns Hopkins University
12,University of Michigan
13,Duke University
14,"University of California, Berkeley (UCB)"
15,Northwestern University
16,"University of California, Los Angeles (UCLA)"
17,University of Wisconsin-Madison
18,Brown University
19,New York University (NYU)
20,Carnegie Mellon University
21,University of Illinois at Urbana-Champaign
22,"University of North Carolina, Chapel Hill"
23,University of Washington
24,Boston University
25,University of Texas at Austin
26,"University of California, San Diego (UCSD)"
27,Washington University in St. Louis
28,Georgia Institute of Technology (Georgia Tech)
29,Purdue University
30,University of Pittsburgh
31,"University of California, Davis (UCD)"
32,Pennsylvania State University
33,University of Minnesota
34,Ohio State University
35,Dartmouth College
36,"University of Maryland, College Park"
37,"University of California, Santa Barbara (UCSB)"
38,Rice University
39,Emory University
40,University of Virginia
41,University of Southern California
42,University of Rochester
43,"University of California, Irvine (UCI)"
44,University of Colorado at Boulder
45,Case Western Reserve University
46,Texas A&M University
47,Vanderbilt University
48,University of Florida
49,Michigan State University
50,"University of Illinois, Chicago (UIC)"
51,Tufts University
52,Georgetown University
53,University of Arizona
54,University of Iowa
55,Indiana University Bloomington
56,University of Miami
57,University of Notre Dame
58,Yeshiva University
59,University of Utah
60,"Rutgers - The State University of New Jersey, New Brunswick"
61,University of Hawaii at M_Ånoa 
62,"University of Massachusetts, Amherst"
63,North Carolina State University
64,Rensselaer Polytechnic Institute
65,Stony Brook University
66,"University of California, Riverside (UCR)"
67,Tulane University
68,"University of California, Santa Cruz (UCSC)"
69,University at Buffalo SUNY
70,Wake Forest University
71,Iowa State University
72,Boston College
73,Arizona State University
74,Brandeis University
75,Virginia Polytechnic Institute (Virginia Tech)
76,George Washington University
77,Washington State University
78,Colorado State University
79,University of Connecticut
80,"University of Missouri, Columbia"
81,The University of Georgia
82,University of Cincinnati
83,University of New Mexico
84,Drexel University
85,Florida State University
86,Illinois Institute of Technology
87,Oregon State University
88,University of Delaware
89,University of Kansas
90,University of Kentucky
91,University of Tennessee
92,City University of New York
93,Northeastern University
94,"Rutgers - The State University of New Jersey, Newark"
95,Syracuse University
96,University of Alabama
97,University of Nebraska
98,University of Oklahoma
99,University of Vermont
100,College of William & Mary
101,Howard University
102,Lehigh University
103,Louisiana State University
104,University of South Carolina
105,University of South Florida
106,Virginia Commonwealth University
107,Loyola University Chicago
108,Missouri University of Science and Technology
109,Smith College
110,Temple University
111,University at Albany SUNY
112,University of Houston
113,University of Oregon
114,American University
115,Auburn University
116,Baylor University
117,Binghamton University SUNY
118,Brigham Young University
119,Clark University
120,Clemson University
121,Fordham University
122,Georgia State University
123,Marquette University
124,Southern Methodist University
125,Stevens Institute of Technology
126,University of Arkansas
127,University of Denver
128,University of the Pacific
129,University of Tulsa
130,Worcester Polytechnic Institute
